metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
48220,"Weatherford, OK",40043,"Dewey County, Oklahoma",4904,88474,499
48220,"Weatherford, OK",40129,"Roger Mills County, Oklahoma",3734,88474,499
18700,"Corvallis, OR",41003,"Benton County, Oregon",88249,88249,500
35260,"New Castle, PA",42073,"Lawrence County, Pennsylvania",88231,88231,501
25840,"Hermiston-Pendleton, OR",41049,"Morrow County, Oregon",11153,87889,502
25840,"Hermiston-Pendleton, OR",41059,"Umatilla County, Oregon",76736,87889,502
13180,"Beaver Dam, WI",55027,"Dodge County, Wisconsin",87833,87833,503
46380,"Ukiah, CA",06045,"Mendocino County, California",87497,87497,504
21300,"Elmira, NY",36015,"Chemung County, New York",86883,86883,505
32740,"Meadville, PA",42039,"Crawford County, Pennsylvania",86847,86847,506
26860,"Indiana, PA",42063,"Indiana County, Pennsylvania",86551,86551,507
38260,"Pittsburg, KS",29011,"Barton County, Missouri",11942,86463,508
38260,"Pittsburg, KS",20011,"Bourbon County, Kansas",14757,86463,508
38260,"Pittsburg, KS",20037,"Crawford County, Kansas",39099,86463,508
38260,"Pittsburg, KS",29217,"Vernon County, Missouri",20665,86463,508
36620,"Ontario, OR-ID",41001,"Baker County, Oregon",15980,86445,509
36620,"Ontario, OR-ID",41023,"Grant County, Oregon",7209,86445,509
36620,"Ontario, OR-ID",41045,"Malheur County, Oregon",30421,86445,509
36620,"Ontario, OR-ID",16075,"Payette County, Idaho",22839,86445,509
36620,"Ontario, OR-ID",16087,"Washington County, Idaho",9996,86445,509
13420,"Bemidji, MN",27057,"Hubbard County, Minnesota",20743,85968,510
13420,"Bemidji, MN",27007,"Beltrami County, Minnesota",45847,85968,510
13420,"Bemidji, MN",27077,"Lake of the Woods County, Minnesota",3841,85968,510
13420,"Bemidji, MN",27135,"Roseau County, Minnesota",15537,85968,510
14700,"Branson, MO",29209,"Stone County, Missouri",31529,85837,511
14700,"Branson, MO",29213,"Taney County, Missouri",54308,85837,511
48780,"Williston, ND",38013,"Burke County, North Dakota",2253,85403,512
48780,"Williston, ND",38023,"Divide County, North Dakota",2378,85403,512
48780,"Williston, ND",38105,"Williams County, North Dakota",32916,85403,512
48780,"Williston, ND",38061,"Mountrail County, North Dakota",9986,85403,512
48780,"Williston, ND",30083,"Richland County, Montana",11405,85403,512
48780,"Williston, ND",38053,"McKenzie County, North Dakota",11679,85403,512
48780,"Williston, ND",30085,"Roosevelt County, Montana",11218,85403,512
48780,"Williston, ND",30091,"Sheridan County, Montana",3568,85403,512
20180,"DuBois, PA",42033,"Clearfield County, Pennsylvania",80539,85293,513
20180,"DuBois, PA",42023,"Cameron County, Pennsylvania",4754,85293,513
32380,"Mason City, IA",19195,"Worth County, Iowa",7502,85134,514
32380,"Mason City, IA",19081,"Hancock County, Iowa",10971,85134,514
32380,"Mason City, IA",19197,"Wright County, Iowa",12864,85134,514
32380,"Mason City, IA",19131,"Mitchell County, Iowa",10663,85134,514
32380,"Mason City, IA",19033,"Cerro Gordo County, Iowa",43134,85134,514
14100,"Bloomsburg-Berwick, PA",42037,"Columbia County, Pennsylvania",66615,84917,515
14100,"Bloomsburg-Berwick, PA",42093,"Montour County, Pennsylvania",18302,84917,515
29860,"Laurel, MS",28061,"Jasper County, Mississippi",16547,84875,516
29860,"Laurel, MS",28067,"Jones County, Mississippi",68328,84875,516
48020,"Watertown-Fort Atkinson, WI",55055,"Jefferson County, Wisconsin",84586,84586,517
24420,"Grants Pass, OR",41033,"Josephine County, Oregon",84514,84514,518
23180,"Frankfort, KY",21229,"Washington County, Kentucky",11999,83985,519
23180,"Frankfort, KY",21005,"Anderson County, Kentucky",22017,83985,519
23180,"Frankfort, KY",21073,"Franklin County, Kentucky",49969,83985,519
34260,"Mountain Home, AR",05137,"Stone County, Arkansas",12443,83431,520
34260,"Mountain Home, AR",05065,"Izard County, Arkansas",13521,83431,520
34260,"Mountain Home, AR",05005,"Baxter County, Arkansas",41093,83431,520
34260,"Mountain Home, AR",05089,"Marion County, Arkansas",16374,83431,520
34660,"Murray, KY",47161,"Stewart County, Tennessee",13248,83041,521
34660,"Murray, KY",21035,"Calloway County, Kentucky",38616,83041,521
34660,"Murray, KY",21157,"Marshall County, Kentucky",31177,83041,521
31980,"Marion, IN",18053,"Grant County, Indiana",67615,82905,522
31980,"Marion, IN",18159,"Tipton County, Indiana",15290,82905,522
29020,"Kokomo, IN",18067,"Howard County, Indiana",82457,82457,523
10220,"Ada, OK",40063,"Hughes County, Oklahoma",13519,82310,524
10220,"Ada, OK",40029,"Coal County, Oklahoma",5666,82310,524
10220,"Ada, OK",40123,"Pontotoc County, Oklahoma",38289,82310,524
10220,"Ada, OK",40069,"Johnston County, Oklahoma",11039,82310,524
10220,"Ada, OK",40099,"Murray County, Oklahoma",13797,82310,524
34780,"Muskogee, OK",40101,"Muskogee County, Oklahoma",69471,82217,525
34780,"Muskogee, OK",40061,"Haskell County, Oklahoma",12746,82217,525
30880,"Logan, WV",54045,"Logan County, West Virginia",34428,81708,526
30880,"Logan, WV",54109,"Wyoming County, West Virginia",22130,81708,526
30880,"Logan, WV",54059,"Mingo County, West Virginia",25150,81708,526
18980,"Cullman, AL",01043,"Cullman County, Alabama",81703,81703,527
20540,"Dyersburg, TN",47097,"Lauderdale County, Tennessee",26497,81592,528
20540,"Dyersburg, TN",47045,"Dyer County, Tennessee",37751,81592,528
20540,"Dyersburg, TN",29155,"Pemiscot County, Missouri",17344,81592,528
33300,"Milledgeville, GA",13265,"Taliaferro County, Georgia",1844,81207,529
33300,"Milledgeville, GA",13141,"Hancock County, Georgia",8667,81207,529
33300,"Milledgeville, GA",13133,"Greene County, Georgia",16732,81207,529
33300,"Milledgeville, GA",13301,"Warren County, Georgia",5410,81207,529
33300,"Milledgeville, GA",13125,"Glascock County, Georgia",3027,81207,529
33300,"Milledgeville, GA",13009,"Baldwin County, Georgia",45527,81207,529
42820,"Selma, AL",01091,"Marengo County, Alabama",19743,81097,530
42820,"Selma, AL",01105,"Perry County, Alabama",9680,81097,530
42820,"Selma, AL",01131,"Wilcox County, Alabama",10919,81097,530
42820,"Selma, AL",01047,"Dallas County, Alabama",40755,81097,530
18020,"Columbus, IN",18005,"Bartholomew County, Indiana",81024,81024,531
16220,"Casper, WY",56025,"Natrona County, Wyoming",81023,81023,532
48460,"West Plains, MO",05049,"Fulton County, Arkansas",12092,80611,533
48460,"West Plains, MO",29153,"Ozark County, Missouri",9328,80611,533
48460,"West Plains, MO",29149,"Oregon County, Missouri",10779,80611,533
48460,"West Plains, MO",29091,"Howell County, Missouri",40139,80611,533
48460,"West Plains, MO",29203,"Shannon County, Missouri",8273,80611,533
49100,"Winona, MN",27169,"Winona County, Minnesota",50992,80502,534
49100,"Winona, MN",55121,"Trempealeau County, Wisconsin",29510,80502,534
43180,"Shelbyville, TN",47003,"Bedford County, Tennessee",46854,80397,535
43180,"Shelbyville, TN",47103,"Lincoln County, Tennessee",33543,80397,535
36020,"Oak Harbor, WA",53029,"Island County, Washington",80323,80323,536
25980,"Hinesville, GA",13183,"Long County, Georgia",17857,79977,537
25980,"Hinesville, GA",13179,"Liberty County, Georgia",62120,79977,537
11980,"Athens, TX",48213,"Henderson County, Texas",79687,79687,538
31820,"Manitowoc, WI",55071,"Manitowoc County, Wisconsin",79680,79680,539
35740,"Norfolk, NE",31039,"Cuming County, Nebraska",9039,79675,540
35740,"Norfolk, NE",31139,"Pierce County, Nebraska",7175,79675,540
35740,"Norfolk, NE",31011,"Boone County, Nebraska",5357,79675,540
